Date,Open,High,Low,Close,Volume,Adjusted Close
2013-08-28,363.17,365.1,362.33,364.47,123825000.0,364.47
2013-08-27,371.06,372.4,364.09,364.87,148184800.0,364.87
2013-08-26,375.11,375.11,372.03,373.49,103228500.0,373.49
2013-08-23,372.58,375.53,370.86,374.67,83387600.0,374.67
2013-08-22,367.59,373.17,367.59,371.94,111765900.0,371.94
2013-08-21,368.69,369.35,367.33,367.51,79300500.0,367.51
2013-08-20,371.95,372.08,366.77,368.93,113346700.0,368.93
2013-08-19,374.88,375.15,372.79,373.8,74221600.0,373.8
2013-08-16,374.61,375.23,372.51,374.75,114158400.0,374.75
2013-08-15,378.9,378.9,373.2,375.58,98720900.0,375.58
2013-08-14,377.68,380.18,377.32,379.62,132458100.0,379.62
2013-08-13,376.55,377.9,376.2,377.64,122951700.0,377.64
2013-08-12,376.23,376.84,373.67,375.61,166683500.0,375.61
2013-08-09,373.65,375.75,372.38,375.4,319723100.0,375.4
2013-08-08,370.8,373.52,369.88,372.14,128573800.0,372.14
2013-08-07,369.66,370.95,368.85,369.61,139704600.0,369.61
2013-08-06,371.82,373.43,369.47,371.38,105706900.0,371.38
2013-08-05,371.91,373.39,370.97,372.52,98819900.0,372.52
2013-08-02,373.86,374.12,370.48,371.34,132185400.0,371.34
2013-08-01,370.2,372.39,369.23,372.39,165214600.0,372.39
2013-07-31,367.89,370.58,366.9,369.81,105431600.0,369.81
2013-07-30,369.73,371.07,368.39,368.99,101902800.0,368.99
2013-07-29,369.49,371.01,367.72,368.33,141623000.0,368.33
2013-07-26,371.74,372.28,367.26,368.31,107978000.0,368.31
2013-07-25,371.05,371.68,367.92,370.36,117445000.0,370.36
2013-07-24,369.6,373.13,369.6,371.96,161728000.0,371.96
2013-07-23,371.08,371.64,368.72,368.72,252839800.0,368.72
2013-07-22,370.64,371.67,369.76,370.39,206370400.0,370.39
2013-07-19,367.67,369.93,366.44,369.76,118924400.0,369.76
2013-07-18,365.56,369.5,364.86,368.76,106821000.0,368.76
2013-07-17,364.89,367.28,362.5,366.06,99474800.0,366.06
2013-07-16,366.79,367.03,363.9,364.12,82836200.0,364.12
2013-07-15,365.96,368.19,365.96,366.77,65907200.0,366.77
2013-07-12,365.3,367.01,364.49,364.95,86490400.0,364.95
2013-07-11,365.7,365.88,362.93,364.05,121043600.0,364.05
2013-07-10,359.78,362.12,358.97,362.04,91641800.0,362.04
2013-07-09,358.75,361.11,358.17,360.11,101596200.0,360.11
2013-07-08,355.31,358.52,354.87,357.15,90668800.0,357.15
2013-07-05,355.02,357.55,352.18,352.53,129622400.0,352.53
2013-07-04,348.0,354.68,347.89,354.51,119780800.0,354.51
2013-07-03,345.25,345.88,342.8,345.82,131521800.0,345.82
2013-07-02,348.21,348.21,345.52,347.8,91066800.0,347.8
2013-07-01,345.91,348.87,343.1,347.37,110675600.0,347.37
2013-06-28,345.55,346.89,343.64,344.59,135761600.0,344.59
2013-06-27,341.58,346.17,339.7,344.75,117180200.0,344.75
2013-06-26,336.25,341.4,335.63,340.82,114977600.0,340.82
2013-06-25,335.51,336.15,332.87,335.4,119866800.0,335.4
